Distrito,Lista/Pacto,Partido,Candidaturas,Votos,Porcentaje,Electos
1,Partido Humanista,PH,2,1339,1.98,0
1,Unión por Chile,RN,1,14275,21.16,0
1,Unión por Chile,UDI,1,2096,3.11,0
1,Concertación de Partidos por la Democracia,PRSD,1,10922,16.19,0
1,Concertación de Partidos por la Democracia,PPD,1,14358,21.28,1
1,La Izquierda,PC,1,4720,6.99,0
1,Chile 2000,UCCP,1,276,0.41,0
1,Candidatura Independiente,IND,1,17680,26.2,1
1,Válidamente emitidos,,0,67478,100.0,0
2,Partido Humanista,PH,2,932,1.21,0
2,Unión por Chile,UDI,1,2160,2.79,0
2,Unión por Chile,RN,1,21013,27.18,0
2,Concertación de Partidos por la Democracia,PDC,1,28580,36.97,1
2,Concertación de Partidos por la Democracia,PPD,1,21184,27.41,1
2,La Izquierda,PC,1,3428,4.43,0
2,Válidamente emitidos,,0,77297,100.0,0
3,Partido Humanista,PH,2,1623,2.51,0
3,Unión por Chile,UDI,1,13283,20.53,0
3,Unión por Chile,RN,1,5315,8.22,0
3,Concertación de Partidos por la Democracia,PS,1,26254,40.58,1
3,Concertación de Partidos por la Democracia,PDC,1,13812,21.35,1
3,La Izquierda,PC,1,4409,6.81,0
3,Válidamente emitidos,,0,64696,100.0,0
4,Partido Humanista,PH,1,2157,2.15,0
4,Unión por Chile,RN,1,11130,11.07,0
4,Unión por Chile,UDI,1,21412,21.3,1
4,Concertación de Partidos por la Democracia,PS,1,31556,31.4,1
4,Concertación de Partidos por la Democracia,PDC,1,27348,27.21,0
4,La Izquierda,PC,1,6032,6.0,0
4,Válidamente emitidos,,0,100507,100.0,0
5,Partido Humanista,PH,1,3954,8.07,0
5,Unión por Chile,RN,1,10502,21.44,1
5,Unión por Chile,UDI,1,3653,7.46,0
5,Concertación de Partidos por la Democracia,PPD,1,13242,27.04,1
5,Concertación de Partidos por la Democracia,PRSD,1,11455,23.39,0
5,La Izquierda,PC,1,5009,10.23,0
5,La Izquierda,NAP,1,1161,2.37,0
5,Válidamente emitidos,,0,48976,100.0,0
6,Partido Humanista,PH,1,426,1.09,0
6,Unión por Chile,UDI,1,522,1.34,0
6,Unión por Chile,RN,1,14753,37.89,1
6,Concertación de Partidos por la Democracia,PS,1,9355,24.03,0
6,Concertación de Partidos por la Democracia,PDC,1,12012,30.85,1
6,La Izquierda,NAP,1,354,0.91,0
6,La Izquierda,PC,1,1512,3.88,0
6,Válidamente emitidos,,0,38934,100.0,0
7,Partido Humanista,PH,1,1696,2.32,0
7,Unión por Chile,RN,1,15921,21.78,1
7,Unión por Chile,UDI,1,10977,15.02,0
7,Concertación de Partidos por la Democracia,PRSD,1,18331,25.08,0
7,Concertación de Partidos por la Democracia,PDC,1,18642,25.5,1
7,La Izquierda,PC,1,6443,8.81,0
7,La Izquierda,NAP,1,1093,1.5,0
7,Válidamente emitidos,,0,73103,100.0,0
8,Partido Humanista,PH,1,1536,1.78,0
8,Unión por Chile,UDI,1,12761,14.77,0
8,Unión por Chile,RN,1,13053,15.1,0
8,Concertación de Partidos por la Democracia,PS,1,22301,25.81,1
8,Concertación de Partidos por la Democracia,PDC,1,30246,35.0,1
8,La Izquierda,PC,1,5097,5.9,0
8,La Izquierda,NAP,1,1423,1.65,0
8,Válidamente emitidos,,0,86417,100.0,0
9,Partido Humanista,PH,2,1972,3.57,0
9,Unión por Chile,UDI,1,8662,15.66,1
9,Unión por Chile,RN,1,6641,12.01,0
9,Concertación de Partidos por la Democracia,PDC,1,12721,23.0,0
9,Concertación de Partidos por la Democracia,PPD,1,14757,26.68,1
9,La Izquierda,PC,1,10127,18.31,0
9,La Izquierda,NAP,1,423,0.76,0
9,Válidamente emitidos,,0,55303,100.0,0
