Distrito,Lista/Pacto,Electos,Porcentaje,Votos
Tarapacá,Frente de Acción Popular,2,35.82,18598.0
Tarapacá,Unión Socialista Popular,0,3.99,2071.0
Tarapacá,Partido Democrático Nacional,0,0.88,458.0
Tarapacá,Partido Demócrata Cristiano,1,26.94,13985.0
Tarapacá,Partido Radical,0,10.94,5677.0
Tarapacá,Partido Nacional,1,17.78,9231.0
Tarapacá,Acción Popular Independiente,0,0.0,0.0
Tarapacá,Candidatura Independiente,0,0.0,0.0
Tarapacá,Válidamente emitidos,0,96.35,50020.0
Tarapacá,Blancos/Nulos,0,3.65,1895.0
Tarapacá,Total,0,100.0,51915.0
Antofagasta,Frente de Acción Popular,2,28.439999999999998,22259.0
Antofagasta,Unión Socialista Popular,0,8.8,6885.0
Antofagasta,Partido Democrático Nacional,0,2.2,1725.0
Antofagasta,Partido Demócrata Cristiano,3,26.6,20814.0
Antofagasta,Partido Radical,2,21.97,17193.0
Antofagasta,Partido Nacional,0,8.11,6350.0
Antofagasta,Acción Popular Independiente,0,0.0,0.0
Antofagasta,Candidatura Independiente,0,0.0,0.0
Antofagasta,Válidamente emitidos,0,96.12,75226.0
Antofagasta,Blancos/Nulos,0,3.88,3036.0
Antofagasta,Total,0,100.0,78262.0
Atacama,Frente de Acción Popular,0,40.489999999999995,15616.0
Atacama,Unión Socialista Popular,0,0.7,270.0
Atacama,Partido Democrático Nacional,0,0.58,223.0
Atacama,Partido Demócrata Cristiano,1,26.2,10103.0
Atacama,Partido Radical,1,21.99,8482.0
Atacama,Partido Nacional,0,6.86,2646.0
Atacama,Acción Popular Independiente,0,0.0,0.0
Atacama,Candidatura Independiente,0,0.0,0.0
Atacama,Válidamente emitidos,0,96.83,37340.0
Atacama,Blancos/Nulos,0,3.17,1224.0
Atacama,Total,0,100.0,38564.0
Coquimbo,Frente de Acción Popular,2,34.84,27959.0
Coquimbo,Unión Socialista Popular,0,2.69,2155.0
Coquimbo,Partido Democrático Nacional,0,0.99,793.0
Coquimbo,Partido Demócrata Cristiano,2,25.45,20418.0
Coquimbo,Partido Radical,2,19.96,16019.0
Coquimbo,Partido Nacional,1,13.25,10635.0
Coquimbo,Acción Popular Independiente,0,0.0,0.0
Coquimbo,Candidatura Independiente,0,0.0,0.0
Coquimbo,Válidamente emitidos,0,97.19,77979.0
