Distrito,Lista/Pacto,Candidaturas,Votos,Porcentaje,Electos
1,Nueva Mayoría,2,29600,41.64,1
1,Nueva Constitución para Chile,1,1146,1.61,0
1,"Si tú quieres, Chile cambia",2,16431,23.12,1
1,Alianza,2,16112,22.67,0
1,Candidatura Independiente,1,3910,5.5,0
1,Válidamente emitidos,0,67199,94.54,0
1,Nulos,0,2297,3.23,0
1,Blancos,0,1586,2.23,0
1,Total,0,71082,100.0,0
2,Nueva Mayoría,2,31106,36.15,1
2,Partido Regionalista de los Independientes,1,3404,3.96,0
2,Partido Humanista,2,2111,2.45,0
2,"Si tú quieres, Chile cambia",1,3806,4.42,0
2,Alianza,2,29814,34.65,1
2,Candidatura Independiente,1,10462,12.16,0
2,Válidamente emitidos,0,80703,93.8,0
2,Nulos,0,2765,3.21,0
2,Blancos,0,2572,2.99,0
2,Total,0,86040,100.0,0
3,Nueva Mayoría,2,29684,45.32,1
3,Partido Humanista,1,1632,2.49,0
3,Nueva Constitución para Chile,2,4429,6.76,0
3,"Si tú quieres, Chile cambia",1,2737,4.18,0
3,Alianza,2,22070,33.69,1
3,Válidamente emitidos,0,60552,92.44,0
3,Nulos,0,2403,3.67,0
3,Blancos,0,2549,3.89,0
3,Total,0,65504,100.0,0
4,Nueva Mayoría,2,39086,35.2,1
4,Partido Humanista,1,2735,2.46,0
4,Nueva Constitución para Chile,1,3213,2.89,0
4,"Si tú quieres, Chile cambia",2,13294,11.97,0
4,Alianza,2,35697,32.15,1
4,Candidatura Independiente,1,10755,9.69,0
4,Válidamente emitidos,0,104780,94.36,0
4,Nulos,0,3275,2.95,0
4,Blancos,0,2988,2.69,0
4,Total,0,111043,100.0,0
5,Nueva Mayoría,2,36675,62.19,2
5,Partido Humanista,1,1580,2.68,0
5,"Si tú quieres, Chile cambia",2,2360,4.0,0
5,Alianza,2,14971,25.39,0
5,Válidamente emitidos,0,55586,94.26,0
5,Nulos,0,1891,3.21,0
5,Blancos,0,1495,2.54,0
5,Total,0,58972,100.0,0
6,Nueva Mayoría,2,21749,54.1,2
6,"Si tú quieres, Chile cambia",2,8441,21.0,0
6,Alianza,2,7827,19.47,0
6,Válidamente emitidos,0,38017,94.56,0
6,Nulos,0,1151,2.86,0
6,Blancos,0,1035,2.57,0
6,Total,0,40203,100.0,0
7,Nueva Mayoría,2,48147,51.71,1
7,Partido Humanista,1,3661,3.93,0
7,"Si tú quieres, Chile cambia",2,4988,5.36,0
7,Alianza,2,29351,31.52,1
7,Válidamente emitidos,0,86147,92.53,0
7,Nulos,0,2965,3.18,0
7,Blancos,0,3993,4.29,0
7,Total,0,93105,100.0,0
8,Nueva Mayoría,2,51967,48.47,2
8,Partido Regionalista de los Independientes,2,17735,16.54,0
8,Partido Humanista,1,2786,2.6,0
8,Nueva Constitución para Chile,1,2761,2.58,0
8,Alianza,2,24912,23.23,0
8,Válidamente emitidos,0,100161,93.41,0
8,Nulos,0,3050,2.84,0
8,Blancos,0,4011,3.74,0
8,Total,0,107222,100.0,0
9,Nueva Mayoría,2,39276,66.0,2
9,Partido Regionalista de los Independientes,1,1881,3.16,0
9,Partido Humanista,1,1429,2.4,0
9,Alianza,2,11776,19.79,0
9,Válidamente emitidos,0,54362,91.35,0
9,Nulos,0,1535,2.58,0
9,Blancos,0,3614,6.07,0
9,Total,0,59511,100.0,0
10,Nueva Mayoría,2,51467,38.92,1
10,Partido Regionalista de los Independientes,1,5206,3.94,0
10,Partido Humanista,2,8358,6.32,0
10,Alianza,2,56662,42.85,1
10,Válidamente emitidos,0,121693,92.02,0
10,Nulos,0,5064,3.83,0
10,Blancos,0,5483,4.15,0
10,Total,0,132240,100.0,0
11,Nueva Mayoría,2,54571,51.79,1
11,Partido Humanista,1,3060,2.9,0
11,"Si tú quieres, Chile cambia",2,4635,4.4,0
11,Alianza,2,35927,34.1,1
11,Válidamente emitidos,0,98193,93.2,0
11,Nulos,0,3595,3.41,0
11,Blancos,0,3574,3.39,0
11,Total,0,105362,100.0,0
12,Nueva Mayoría,2,50745,40.71,1
12,Partido Humanista,1,7796,6.25,0
12,Nueva Constitución para Chile,1,8167,6.55,0
12,Alianza,2,49693,39.87,1
12,Válidamente emitidos,0,116401,93.39,0
12,Nulos,0,4574,3.67,0
12,Blancos,0,3666,2.94,0
12,Total,0,124641,100.0,0
13,Nueva Mayoría,2,55742,45.03,1
13,Partido Humanista,1,7302,5.9,0
13,Nueva Constitución para Chile,1,2459,1.99,0
13,"Si tú quieres, Chile cambia",1,4346,3.51,0
13,Alianza,2,38423,31.04,1
13,Candidatura Independiente,1,7631,6.16,0
13,Válidamente emitidos,0,115903,93.63,0
13,Nulos,0,4523,3.65,0
13,Blancos,0,3359,2.71,0
13,Total,0,123785,100.0,0
14,Nueva Mayoría,2,57219,36.82,1
14,Partido Humanista,1,7584,4.88,0
14,"Si tú quieres, Chile cambia",2,9384,6.04,0
14,Alianza,2,60047,38.64,1
14,Candidatura Independiente,1,9515,6.12,0
14,Válidamente emitidos,0,143749,92.5,0
14,Nulos,0,6065,3.9,0
14,Blancos,0,5585,3.59,0
14,Total,0,155399,100.0,0
15,Nueva Mayoría,2,34834,42.62,1
15,Partido Humanista,1,1841,2.25,0
15,Nueva Constitución para Chile,1,3296,4.03,0
15,"Si tú quieres, Chile cambia",1,3707,4.54,0
15,Alianza,2,33117,40.52,1
15,Válidamente emitidos,0,76795,93.95,0
15,Nulos,0,2402,2.94,0
15,Blancos,0,2540,3.11,0
15,Total,0,81737,100.0,0
16,Nueva Mayoría,2,76526,41.5,1
16,Partido Humanista,1,9358,5.08,0
16,Nueva Constitución para Chile,2,10137,5.5,0
16,"Si tú quieres, Chile cambia",2,16564,8.98,0
16,Alianza,2,55014,29.84,1
16,Válidamente emitidos,0,167599,90.89,0
16,Nulos,0,7682,4.17,0
16,Blancos,0,9108,4.94,0
16,Total,0,184389,100.0,0
17,Nueva Mayoría,2,56284,39.62,1
17,Partido Humanista,2,5974,4.21,0
17,Nueva Constitución para Chile,2,6562,4.62,0
17,"Si tú quieres, Chile cambia",2,12071,8.5,0
17,Alianza,2,41056,28.9,1
17,Candidatura Independiente,1,7590,5.34,0
17,Válidamente emitidos,0,129537,91.18,0
17,Nulos,0,6100,4.29,0
17,Blancos,0,6430,4.53,0
17,Total,0,142067,100.0,0
18,Nueva Mayoría,2,68261,46.23,1
18,Partido Humanista,2,5496,3.72,0
18,Nueva Constitución para Chile,1,5491,3.72,0
18,"Si tú quieres, Chile cambia",2,12272,8.31,0
18,Alianza,2,44466,30.12,1
18,Válidamente emitidos,0,135986,92.1,0
18,Nulos,0,5779,3.91,0
18,Blancos,0,5884,3.99,0
18,Total,0,147649,100.0,0
19,Nueva Mayoría,2,49609,49.61,1
19,Partido Humanista,2,3401,3.4,0
19,Nueva Constitución para Chile,1,4210,4.21,0
19,"Si tú quieres, Chile cambia",2,5358,5.36,0
19,Alianza,2,30400,30.4,1
