Distrito,Lista/Pacto,Candidaturas,Votos,Porcentaje,Electos
D1,Chile Podemos +,4,18880,21.99,1
D1,Partido de la Gente,4,9789,11.4,0
D1,Partido de Trabajadores Revolucionarios,2,1397,1.63,0
D1,Nuevo Pacto Social,4,28618,33.33,2
D1,Partido Ecologista Verde,0,0,0.0,0
D1,Unión Patriótica,0,0,0.0,0
D1,Dignidad Ahora,2,1847,2.15,0
D1,Frente Social Cristiano,3,12106,14.1,0
D1,Apruebo Dignidad,3,7270,8.47,0
D1,Nuevo Tiempo,1,546,0.64,0
D1,Independientes Unidos,0,0,0.0,0
D1,Partido Progresista,0,0,0.0,0
D1,Válidamente emitidos,0,80453,93.71,0
D1,Nulos,0,3253,3.79,0
D1,Blancos,0,2146,2.5,0
D1,Total,0,85852,100.0,0
D2,Chile Podemos +,4,23750,21.53,1
D2,Partido de la Gente,3,15723,14.25,0
D2,Partido de Trabajadores Revolucionarios,0,0,0.0,0
D2,Nuevo Pacto Social,3,15929,14.44,1
D2,Partido Ecologista Verde,0,0,0.0,0
D2,Unión Patriótica,0,0,0.0,0
D2,Dignidad Ahora,2,1894,1.72,0
D2,Frente Social Cristiano,4,14834,13.44,0
D2,Apruebo Dignidad,4,26534,24.05,1
D2,Nuevo Tiempo,1,1463,1.33,0
D2,Independientes Unidos,0,0,0.0,0
D2,Partido Progresista,0,0,0.0,0
D2,Válidamente emitidos,0,100127,90.75,0
D2,Nulos,0,5439,4.93,0
D2,Blancos,0,4765,4.32,0
D2,Total,0,110331,100.0,0
D3,Chile Podemos +,6,33464,16.43,1
D3,Partido de la Gente,5,33784,16.59,1
D3,Partido de Trabajadores Revolucionarios,6,8642,4.24,0
D3,Nuevo Pacto Social,6,37396,18.37,2
D3,Partido Ecologista Verde,0,0,0.0,0
D3,Unión Patriótica,0,0,0.0,0
D3,Dignidad Ahora,5,5623,2.76,0
D3,Frente Social Cristiano,6,13099,6.43,0
D3,Apruebo Dignidad,6,36147,17.75,1
D3,Nuevo Tiempo,3,2394,1.18,0
D3,Independientes Unidos,6,9447,4.64,0
D3,Partido Progresista,1,2131,1.05,0
D3,Válidamente emitidos,0,182127,89.44,0
D3,Nulos,0,11509,5.65,0
D3,Blancos,0,9984,4.9,0
D3,Total,0,203620,100.0,0
D4,Chile Podemos +,6,15000,14.0,1
D4,Partido de la Gente,5,9061,8.46,0
D4,Partido de Trabajadores Revolucionarios,0,0,0.0,0
D4,Nuevo Pacto Social,5,37870,35.34,3
D4,Partido Ecologista Verde,5,4019,3.75,0
D4,Unión Patriótica,0,0,0.0,0
D4,Dignidad Ahora,5,2689,2.51,0
D4,Frente Social Cristiano,6,5681,5.3,0
D4,Apruebo Dignidad,6,20193,18.85,1
D4,Nuevo Tiempo,0,0,0.0,0
D4,Independientes Unidos,0,0,0.0,0
D4,Partido Progresista,0,0,0.0,0
D4,Candidatura Independiente,1,4233,3.95,0
D4,Válidamente emitidos,0,98746,92.16,0
D4,Nulos,0,4640,4.33,0
D4,Blancos,0,3758,3.51,0
D4,Total,0,107144,100.0,0
D5,Chile Podemos +,8,54927,20.6,2
D5,Partido de la Gente,4,28786,10.8,1
D5,Partido de Trabajadores Revolucionarios,0,0,0.0,0
D5,Nuevo Pacto Social,8,47579,17.85,2
D5,Partido Ecologista Verde,5,13140,4.93,0
D5,Unión Patriótica,0,0,0.0,0
D5,Dignidad Ahora,7,9979,3.74,0
D5,Frente Social Cristiano,6,18227,6.84,0
D5,Apruebo Dignidad,8,49571,18.59,2
D5,Nuevo Tiempo,0,0,0.0,0
D5,Independientes Unidos,7,10650,3.99,0
D5,Partido Progresista,1,3962,1.49,0
D5,Válidamente emitidos,0,236821,88.82,0
D5,Nulos,0,12850,4.82,0
D5,Blancos,0,16946,6.36,0
D5,Total,0,266617,100.0,0
D6,Chile Podemos +,9,78240,19.46,2
D6,Partido de la Gente,9,43097,10.72,1
D6,Partido de Trabajadores Revolucionarios,1,4102,1.02,0
D6,Nuevo Pacto Social,9,81559,20.29,2
D6,Partido Ecologista Verde,0,0,0.0,0
D6,Unión Patriótica,9,7604,1.89,0
D6,Dignidad Ahora,8,10804,2.69,0
D6,Frente Social Cristiano,9,39784,9.9,1
D6,Apruebo Dignidad,8,77503,19.28,2
D6,Nuevo Tiempo,0,0,0.0,0
D6,Independientes Unidos,7,12638,3.14,0
D6,Partido Progresista,0,0,0.0,0
D6,Válidamente emitidos,0,355331,88.4,0
D6,Nulos,0,21922,5.45,0
D6,Blancos,0,24718,6.15,0
D6,Total,0,401971,100.0,0
D7,Chile Podemos +,9,86686,21.7,2
D7,Partido de la Gente,9,29214,7.31,0
D7,Partido de Trabajadores Revolucionarios,6,6692,1.67,0
D7,Nuevo Pacto Social,9,59184,14.81,2
D7,Partido Ecologista Verde,0,0,0.0,0
D7,Unión Patriótica,9,7112,1.78,0
D7,Dignidad Ahora,8,13864,3.47,0
D7,Frente Social Cristiano,9,48152,12.05,1
D7,Apruebo Dignidad,9,91663,22.94,3
D7,Nuevo Tiempo,0,0,0.0,0
D7,Independientes Unidos,4,14011,3.51,0
D7,Partido Progresista,0,0,0.0,0
D7,Válidamente emitidos,0,356578,89.24,0
D7,Nulos,0,21772,5.45,0
D7,Blancos,0,21204,5.31,0
D7,Total,0,399554,100.0,0
D8,Chile Podemos +,9,86877,16.53,2
D8,Partido de la Gente,9,39270,7.47,1
D8,Partido de Trabajadores Revolucionarios,4,6013,1.14,0
D8,Nuevo Pacto Social,9,55241,10.51,1
D8,Partido Ecologista Verde,7,43186,8.22,1
D8,Unión Patriótica,7,7718,1.47,0
