Distrito,Lista/Pacto,Partido,Candidaturas,Votos,Porcentaje,Electos
D1,Chile Podemos +,PRI,1,7320,8.53,1
D1,Chile Podemos +,EVOPOLI,1,1811,2.11,0
D1,Chile Podemos +,UDI,1,2997,3.49,0
D1,Chile Podemos +,RN,1,6752,7.86,0
D1,Partido de la Gente,PDG,4,9789,11.4,0
D1,Partido de Trabajadores Revolucionarios,PTR,2,1397,1.63,0
D1,Nuevo Pacto Social,CIUDADANOS,0,0,0.0,0
D1,Nuevo Pacto Social,PDC,0,0,0.0,0
D1,Nuevo Pacto Social,PPD,0,0,0.0,0
D1,Nuevo Pacto Social,PR,0,0,0.0,0
D1,Nuevo Pacto Social,PS,2,9110,10.61,0
D1,Nuevo Pacto Social,PL,2,19508,22.72,2
D1,Partido Ecologista Verde,PEV,0,0,0.0,0
D1,Unión Patriótica,UPA,0,0,0.0,0
D1,Dignidad Ahora,PH,2,1847,2.15,0
D1,Dignidad Ahora,IGUALDAD,0,0,0.0,0
D1,Frente Social Cristiano,PCC,0,0,0.0,0
D1,Frente Social Cristiano,REPUBLICANO,3,12106,14.1,0
D1,Apruebo Dignidad,FREVS,1,3326,3.87,0
D1,Apruebo Dignidad,RD,0,0,0.0,0
D1,Apruebo Dignidad,PC,1,3096,3.61,0
D1,Apruebo Dignidad,COMUNES,1,848,0.99,0
D1,Apruebo Dignidad,CS,0,0,0.0,0
D1,Nuevo Tiempo,NT,1,546,0.64,0
D1,Independientes Unidos,CU,0,0,0.0,0
D1,Independientes Unidos,PNC,0,0,0.0,0
D1,Partido Progresista,PRO,0,0,0.0,0
D1,Válidamente emitidos,,0,80453,93.71,0
D1,Nulos,,0,3253,3.79,0
D1,Blancos,,0,2146,2.5,0
D1,Total,,0,85852,100.0,0
D2,Chile Podemos +,PRI,1,1196,1.08,0
D2,Chile Podemos +,RN,1,10007,9.07,0
D2,Chile Podemos +,EVOPOLI,1,1447,1.31,0
D2,Chile Podemos +,UDI,1,11100,10.06,1
D2,Partido de la Gente,PDG,3,15723,14.25,0
D2,Partido de Trabajadores Revolucionarios,PTR,0,0,0.0,0
D2,Nuevo Pacto Social,PDC,1,1623,1.47,0
D2,Nuevo Pacto Social,CIUDADANOS,0,0,0.0,0
D2,Nuevo Pacto Social,PL,0,0,0.0,0
D2,Nuevo Pacto Social,PS,1,7582,6.87,1
D2,Nuevo Pacto Social,PR,0,0,0.0,0
D2,Nuevo Pacto Social,PPD,1,6724,6.09,0
D2,Partido Ecologista Verde,PEV,0,0,0.0,0
D2,Unión Patriótica,UPA,0,0,0.0,0
D2,Dignidad Ahora,IGUALDAD,0,0,0.0,0
D2,Dignidad Ahora,PH,2,1894,1.72,0
D2,Frente Social Cristiano,PCC,0,0,0.0,0
D2,Frente Social Cristiano,REPUBLICANO,4,14834,13.44,0
D2,Apruebo Dignidad,RD,1,5112,4.63,0
D2,Apruebo Dignidad,CS,0,0,0.0,0
D2,Apruebo Dignidad,COMUNES,1,3946,3.58,0
D2,Apruebo Dignidad,PC,1,9897,8.97,1
D2,Apruebo Dignidad,FREVS,1,7579,6.87,0
D2,Nuevo Tiempo,NT,1,1463,1.33,0
D2,Independientes Unidos,PNC,0,0,0.0,0
D2,Independientes Unidos,CU,0,0,0.0,0
D2,Partido Progresista,PRO,0,0,0.0,0
D2,Válidamente emitidos,,0,100127,90.75,0
D2,Nulos,,0,5439,4.93,0
D2,Blancos,,0,4765,4.32,0
D2,Total,,0,110331,100.0,0
D3,Chile Podemos +,PRI,0,0,0.0,0
D3,Chile Podemos +,RN,2,14800,7.27,1
D3,Chile Podemos +,UDI,2,7677,3.77,0
D3,Chile Podemos +,EVOPOLI,2,10987,5.4,0
D3,Partido de la Gente,PDG,5,33784,16.59,1
D3,Partido de Trabajadores Revolucionarios,PTR,6,8642,4.24,0
D3,Nuevo Pacto Social,PS,1,1479,0.73,0
D3,Nuevo Pacto Social,PR,1,3025,1.49,0
D3,Nuevo Pacto Social,PPD,1,11645,5.72,1
D3,Nuevo Pacto Social,PL,1,12266,6.02,1
D3,Nuevo Pacto Social,PDC,1,7635,3.75,0
D3,Nuevo Pacto Social,CIUDADANOS,1,1346,0.66,0
D3,Partido Ecologista Verde,PEV,0,0,0.0,0
D3,Unión Patriótica,UPA,0,0,0.0,0
D3,Dignidad Ahora,IGUALDAD,3,4062,1.99,0
D3,Dignidad Ahora,PH,2,1561,0.77,0
D3,Frente Social Cristiano,REPUBLICANO,6,13099,6.43,0
D3,Frente Social Cristiano,PCC,0,0,0.0,0
D3,Apruebo Dignidad,FREVS,2,7719,3.79,0
D3,Apruebo Dignidad,CS,0,0,0.0,0
D3,Apruebo Dignidad,COMUNES,0,0,0.0,0
D3,Apruebo Dignidad,PC,2,10702,5.26,0
D3,Apruebo Dignidad,RD,2,17726,8.71,1
D3,Nuevo Tiempo,NT,3,2394,1.18,0
D3,Independientes Unidos,CU,6,9447,4.64,0
D3,Independientes Unidos,PNC,0,0,0.0,0
D3,Partido Progresista,PRO,1,2131,1.05,0
D3,Válidamente emitidos,,0,182127,89.44,0
D3,Nulos,,0,11509,5.65,0
D3,Blancos,,0,9984,4.9,0
D3,Total,,0,203620,100.0,0
D4,Chile Podemos +,PRI,2,1849,1.73,0
D4,Chile Podemos +,RN,2,6598,6.16,1
D4,Chile Podemos +,UDI,2,6553,6.12,0
D4,Chile Podemos +,EVOPOLI,0,0,0.0,0
D4,Partido de la Gente,PDG,5,9061,8.46,0
D4,Partido de Trabajadores Revolucionarios,PTR,0,0,0.0,0
D4,Nuevo Pacto Social,PR,1,1306,1.22,0
D4,Nuevo Pacto Social,PS,2,29626,27.65,2
D4,Nuevo Pacto Social,PPD,1,6349,5.93,1
D4,Nuevo Pacto Social,PL,0,0,0.0,0
D4,Nuevo Pacto Social,PDC,1,589,0.55,0
D4,Nuevo Pacto Social,CIUDADANOS,0,0,0.0,0
D4,Partido Ecologista Verde,PEV,5,4019,3.75,0
D4,Unión Patriótica,UPA,0,0,0.0,0
D4,Dignidad Ahora,PH,2,529,0.49,0
D4,Dignidad Ahora,IGUALDAD,3,2160,2.02,0
D4,Frente Social Cristiano,REPUBLICANO,6,5681,5.3,0
D4,Frente Social Cristiano,PCC,0,0,0.0,0
D4,Apruebo Dignidad,PC,2,5613,5.24,0
D4,Apruebo Dignidad,COMUNES,2,5907,5.51,0
D4,Apruebo Dignidad,CS,0,0,0.0,0
D4,Apruebo Dignidad,FREVS,2,8673,8.09,1
D4,Apruebo Dignidad,RD,0,0,0.0,0
D4,Nuevo Tiempo,NT,0,0,0.0,0
D4,Independientes Unidos,CU,0,0,0.0,0
D4,Independientes Unidos,PNC,0,0,0.0,0
D4,Partido Progresista,PRO,0,0,0.0,0
D4,Candidatura Independiente,IND,1,4233,3.95,0
D4,Válidamente emitidos,,0,98746,92.16,0
D4,Nulos,,0,4640,4.33,0
D4,Blancos,,0,3758,3.51,0
D4,Total,,0,107144,100.0,0
D5,Chile Podemos +,RN,4,15783,5.92,0
D5,Chile Podemos +,UDI,4,39144,14.68,2
D5,Chile Podemos +,PRI,0,0,0.0,0
D5,Chile Podemos +,EVOPOLI,0,0,0.0,0
D5,Partido de la Gente,PDG,4,28786,10.8,1
