Circunscripción,Lista/Pacto,Candidaturas,Votos,Porcentaje,Electos
Antofagasta,Chile Podemos +,4,41209,20.23,1
Antofagasta,Partido de la Gente,3,32113,15.76,0
Antofagasta,Partido de Trabajadores Revolucionarios,2,4748,2.33,0
Antofagasta,Nuevo Pacto Social,4,42833,21.03,1
Antofagasta,Partido Ecologista Verde,0,0,0.0,0
Antofagasta,Unión Patriótica,0,0,0.0,0
Antofagasta,Dignidad Ahora,2,3805,1.87,0
Antofagasta,Frente Social Cristiano,0,0,0.0,0
Antofagasta,Apruebo Dignidad,4,52239,25.64,1
Antofagasta,Independientes Unidos,2,10226,5.02,0
Antofagasta,Válidamente emitidos,0,187173,91.88,0
Antofagasta,Nulos,0,10267,5.04,0
Antofagasta,Blancos,0,6269,3.08,0
Antofagasta,Total,0,203709,100.0,0
Coquimbo,Chile Podemos +,4,66283,24.82,1
Coquimbo,Partido de la Gente,2,31561,11.82,0
Coquimbo,Partido de Trabajadores Revolucionarios,0,0,0.0,0
Coquimbo,Nuevo Pacto Social,2,45038,16.87,1
Coquimbo,Partido Ecologista Verde,0,0,0.0,0
Coquimbo,Unión Patriótica,0,0,0.0,0
Coquimbo,Dignidad Ahora,2,6883,2.58,0
Coquimbo,Frente Social Cristiano,0,0,0.0,0
Coquimbo,Apruebo Dignidad,4,81927,30.68,1
Coquimbo,Independientes Unidos,1,11939,4.47,0
Coquimbo,Válidamente emitidos,0,243631,91.24,0
Coquimbo,Nulos,0,11580,4.34,0
Coquimbo,Blancos,0,11818,4.43,0
Coquimbo,Total,0,267029,100.0,0
Santiago,Chile Podemos +,6,710088,24.46,2
Santiago,Partido de la Gente,6,154418,5.32,0
Santiago,Partido de Trabajadores Revolucionarios,0,0,0.0,0
Santiago,Nuevo Pacto Social,6,206010,7.1,0
Santiago,Partido Ecologista Verde,3,132062,4.55,0
Santiago,Unión Patriótica,3,30540,1.05,0
Santiago,Dignidad Ahora,5,70434,2.43,0
Santiago,Frente Social Cristiano,6,336532,11.59,1
Santiago,Apruebo Dignidad,6,500759,17.25,1
Santiago,Independientes Unidos,3,111630,3.85,0
Santiago,Candidatura Independiente,1,402784,13.87,1
Santiago,Válidamente emitidos,0,2655257,91.47,0
Santiago,Nulos,0,130457,4.49,0
Santiago,Blancos,0,117258,4.04,0
Santiago,Total,0,2902972,100.0,0
O'Higgins,Chile Podemos +,4,92865,25.18,1
O'Higgins,Partido de la Gente,3,30081,8.16,0
O'Higgins,Partido de Trabajadores Revolucionarios,0,0,0.0,0
O'Higgins,Nuevo Pacto Social,3,72598,19.69,1
O'Higgins,Partido Ecologista Verde,0,0,0.0,0
O'Higgins,Unión Patriótica,1,4100,1.11,0
O'Higgins,Dignidad Ahora,0,0,0.0,0
O'Higgins,Frente Social Cristiano,0,0,0.0,0
O'Higgins,Apruebo Dignidad,3,138859,37.66,1
O'Higgins,Independientes Unidos,0,0,0.0,0
O'Higgins,Válidamente emitidos,0,338503,91.8,0
O'Higgins,Nulos,0,13968,3.79,0
O'Higgins,Blancos,0,16285,4.42,0
O'Higgins,Total,0,368756,100.0,0
Ñuble,Chile Podemos +,3,56373,29.07,1
Ñuble,Partido de la Gente,2,15132,7.8,0
Ñuble,Partido de Trabajadores Revolucionarios,0,0,0.0,0
Ñuble,Nuevo Pacto Social,2,76058,39.22,1
Ñuble,Partido Ecologista Verde,2,9637,4.97,0
Ñuble,Unión Patriótica,0,0,0.0,0
Ñuble,Dignidad Ahora,1,5510,2.84,0
Ñuble,Frente Social Cristiano,0,0,0.0,0
Ñuble,Apruebo Dignidad,1,12284,6.33,0
Ñuble,Independientes Unidos,0,0,0.0,0
Ñuble,Válidamente emitidos,0,174994,90.23,0
Ñuble,Nulos,0,7873,4.06,0
Ñuble,Blancos,0,11067,5.71,0
Ñuble,Total,0,193934,100.0,0
Bío-Bío,Chile Podemos +,4,151830,24.48,2
Bío-Bío,Partido de la Gente,4,69890,11.27,0
Bío-Bío,Partido de Trabajadores Revolucionarios,0,0,0.0,0
Bío-Bío,Nuevo Pacto Social,3,117148,18.89,1
