Distrito,Lista/Pacto,Partido,Candidaturas,Votos,Porcentaje,Electos
1,Por Todo Chile,PRO,4,10328,13.8,0
1,Frente Amplio,IGUALDAD,1,349,0.47,0
1,Frente Amplio,PL,2,26057,34.81,1
1,Frente Amplio,PH,1,927,1.24,0
1,La Fuerza de la Mayoría,PS,2,11581,15.47,1
1,La Fuerza de la Mayoría,PC,1,2630,3.51,0
1,La Fuerza de la Mayoría,PPD,1,1746,2.33,0
1,Convergencia Democrática,PDC,3,2416,3.23,0
1,Chile Vamos,EVOPOLI,1,3366,4.5,0
1,Chile Vamos,UDI,1,9272,12.39,1
1,Chile Vamos,RN,1,1806,2.41,0
1,Chile Vamos,PRI,1,720,0.96,0
1,Válidamente emitidos,,0,71198,95.12,0
1,Nulos,,0,1917,2.56,0
1,Blancos,,0,1732,2.31,0
1,Total,,0,74847,100.0,0
2,Por Todo Chile,PAIS,2,1444,1.5,0
2,Frente Amplio,PODER,1,869,0.9,0
2,Frente Amplio,PL,1,4974,5.17,0
2,Frente Amplio,PH,1,2418,2.51,0
2,Frente Amplio,IGUALDAD,1,3391,3.52,0
2,Sumemos,TODOS,1,432,0.45,0
2,Sumemos,AMPLITUD,3,2072,2.15,0
2,La Fuerza de la Mayoría,PRSD,1,3189,3.31,0
2,La Fuerza de la Mayoría,PPD,1,1814,1.89,0
2,La Fuerza de la Mayoría,PS,1,8435,8.77,0
2,La Fuerza de la Mayoría,PC,1,14332,14.89,1
2,Convergencia Democrática,PDC,3,4330,4.5,0
2,Chile Vamos,RN,1,17279,17.96,1
2,Chile Vamos,UDI,1,20084,20.87,1
2,Chile Vamos,EVOPOLI,1,693,0.72,0
2,Chile Vamos,PRI,1,904,0.94,0
2,Candidatura Independiente,IND,1,3746,3.89,0
2,Válidamente emitidos,,0,90406,93.95,0
2,Nulos,,0,2617,2.72,0
2,Blancos,,0,3201,3.33,0
2,Total,,0,96224,100.0,0
3,Por Todo Chile,PRO,2,2906,1.61,0
3,Partido de Trabajadores Revolucionarios,PTR,4,4661,2.59,0
3,Frente Amplio,RD,2,9725,5.4,1
3,Frente Amplio,PODER,1,823,0.46,0
3,Frente Amplio,PL,1,1259,0.7,0
3,Frente Amplio,PH,1,5729,3.18,0
3,Frente Amplio,IGUALDAD,1,3102,1.72,0
3,Sumemos,CIUDADANOS,3,3685,2.05,0
3,Sumemos,AMPLITUD,3,4974,2.76,0
3,Coalición Regionalista Verde,DRP,2,6742,3.74,0
3,Coalición Regionalista Verde,FREVS,4,16600,9.22,1
3,La Fuerza de la Mayoría,PS,1,5667,3.15,0
3,La Fuerza de la Mayoría,PRSD,3,22646,12.58,1
3,La Fuerza de la Mayoría,PC,1,3104,1.72,0
3,La Fuerza de la Mayoría,PPD,1,8997,5.0,0
3,Convergencia Democrática,IC,1,606,0.34,0
3,Convergencia Democrática,PDC,2,5755,3.2,0
3,Chile Vamos,UDI,2,6832,3.79,0
3,Chile Vamos,RN,2,42951,23.85,2
3,Chile Vamos,PRI,1,3193,1.77,0
3,Chile Vamos,EVOPOLI,1,2418,1.34,0
3,Válidamente emitidos,,0,162375,90.18,0
3,Nulos,,0,9602,5.33,0
3,Blancos,,0,8075,4.48,0
3,Total,,0,180052,100.0,0
4,Por Todo Chile,PRO,4,3090,3.06,0
4,Frente Amplio,PODER,4,8782,8.71,0
4,Frente Amplio,RD,2,1943,1.93,0
4,Coalición Regionalista Verde,FREVS,6,13287,13.18,1
4,La Fuerza de la Mayoría,PC,1,3795,3.76,0
4,La Fuerza de la Mayoría,PPD,1,2090,2.07,0
4,La Fuerza de la Mayoría,PRSD,1,5347,5.3,0
4,La Fuerza de la Mayoría,PS,2,22733,22.54,2
4,Convergencia Democrática,IC,1,832,0.83,0
4,Convergencia Democrática,MAS,4,1143,1.13,0
4,Convergencia Democrática,PDC,1,2495,2.47,0
4,Chile Vamos,UDI,3,9880,9.8,1
4,Chile Vamos,RN,3,18350,18.2,1
4,Válidamente emitidos,,0,93767,92.99,0
4,Nulos,,0,3212,3.19,0
4,Blancos,,0,3856,3.82,0
4,Total,,0,100835,100.0,0
5,Por Todo Chile,PRO,1,1183,0.46,0
5,Frente Amplio,PEV,1,2826,1.1,0
5,Frente Amplio,RD,4,14150,5.51,0
5,Frente Amplio,PH,1,904,0.35,0
5,Frente Amplio,IGUALDAD,2,3785,1.47,0
5,Sumemos,AMPLITUD,7,13856,5.39,0
5,Coalición Regionalista Verde,FREVS,3,24392,9.49,1
5,La Fuerza de la Mayoría,PC,2,17195,6.69,1
5,La Fuerza de la Mayoría,PRSD,2,15373,5.98,0
5,La Fuerza de la Mayoría,PS,2,21546,8.38,1
5,La Fuerza de la Mayoría,PPD,2,8795,3.42,0
5,Convergencia Democrática,PDC,7,36402,14.17,1
5,Chile Vamos,UDI,4,37275,14.51,2
5,Chile Vamos,RN,4,28762,11.19,1
5,Candidatura Independiente,IND,1,5502,2.14,0
5,Válidamente emitidos,,0,231946,90.26,0
5,Nulos,,0,10426,4.06,0
5,Blancos,,0,14606,5.68,0
