Distrito,Lista/Pacto,Candidaturas,Votos,Porcentaje,Electos
D1,Por Todo Chile,4,10328,13.8,0
D1,Partido de Trabajadores Revolucionarios,0,0,0.0,0
D1,Frente Amplio,4,27333,36.52,1
D1,Sumemos,0,0,0.0,0
D1,Coalición Regionalista Verde,0,0,0.0,0
D1,Unión Patriótica,0,0,0.0,0
D1,La Fuerza de la Mayoría,4,15957,21.32,1
D1,Convergencia Democrática,3,2416,3.23,0
D1,Chile Vamos,4,15164,20.26,1
D1,Válidamente emitidos,0,71198,95.12,0
D1,Nulos,0,1917,2.56,0
D1,Blancos,0,1732,2.31,0
D1,Total,0,74847,100.0,0
D2,Por Todo Chile,2,1444,1.5,0
D2,Partido de Trabajadores Revolucionarios,0,0,0.0,0
D2,Frente Amplio,4,11652,12.11,0
D2,Sumemos,4,2504,2.6,0
D2,Coalición Regionalista Verde,0,0,0.0,0
D2,Unión Patriótica,0,0,0.0,0
D2,La Fuerza de la Mayoría,4,27770,28.86,1
D2,Convergencia Democrática,3,4330,4.5,0
D2,Chile Vamos,4,38960,40.49,2
D2,Candidatura Independiente,1,3746,3.89,0
D2,Válidamente emitidos,0,90406,93.95,0
D2,Nulos,0,2617,2.72,0
D2,Blancos,0,3201,3.33,0
D2,Total,0,96224,100.0,0
D3,Por Todo Chile,2,2906,1.61,0
D3,Partido de Trabajadores Revolucionarios,4,4661,2.59,0
D3,Frente Amplio,6,20638,11.46,1
D3,Sumemos,6,8659,4.81,0
D3,Coalición Regionalista Verde,6,23342,12.96,1
D3,Unión Patriótica,0,0,0.0,0
D3,La Fuerza de la Mayoría,6,40414,22.45,1
D3,Convergencia Democrática,3,6361,3.53,0
D3,Chile Vamos,6,55394,30.77,2
D3,Válidamente emitidos,0,162375,90.18,0
D3,Nulos,0,9602,5.33,0
D3,Blancos,0,8075,4.48,0
D3,Total,0,180052,100.0,0
D4,Por Todo Chile,4,3090,3.06,0
D4,Partido de Trabajadores Revolucionarios,0,0,0.0,0
D4,Frente Amplio,6,10725,10.64,0
D4,Sumemos,0,0,0.0,0
D4,Coalición Regionalista Verde,6,13287,13.18,1
D4,Unión Patriótica,0,0,0.0,0
D4,La Fuerza de la Mayoría,5,33965,33.68,2
D4,Convergencia Democrática,6,4470,4.43,0
D4,Chile Vamos,6,28230,28.0,2
D4,Válidamente emitidos,0,93767,92.99,0
D4,Nulos,0,3212,3.19,0
D4,Blancos,0,3856,3.82,0
D4,Total,0,100835,100.0,0
D5,Por Todo Chile,1,1183,0.46,0
