Circunscripción,Lista/Pacto,Partido,Candidaturas,Votos,Porcentaje,Electos
Arica y Parinacota,Por Todo Chile,PRO,2,1796,2.4,0
Arica y Parinacota,Por Todo Chile,PAIS,0,0,0.0,0
Arica y Parinacota,Frente Amplio,PL,1,7611,10.16,0
Arica y Parinacota,Frente Amplio,RD,0,0,0.0,0
Arica y Parinacota,Frente Amplio,PH,1,1688,2.25,0
Arica y Parinacota,Frente Amplio,IGUALDAD,0,0,0.0,0
Arica y Parinacota,Frente Amplio,PODER,1,4199,5.61,0
Arica y Parinacota,Sumemos,AMPLITUD,0,0,0.0,0
Arica y Parinacota,Sumemos,TODOS,0,0,0.0,0
Arica y Parinacota,Sumemos,CIUDADANOS,0,0,0.0,0
Arica y Parinacota,Coalición Regionalista Verde,DRP,0,0,0.0,0
Arica y Parinacota,Coalición Regionalista Verde,FREVS,0,0,0.0,0
Arica y Parinacota,Unión Patriótica,UPA,0,0,0.0,0
Arica y Parinacota,La Fuerza de la Mayoría,PS,1,14501,19.36,1
Arica y Parinacota,La Fuerza de la Mayoría,PRSD,0,0,0.0,0
Arica y Parinacota,La Fuerza de la Mayoría,PPD,1,8159,10.89,0
Arica y Parinacota,La Fuerza de la Mayoría,PC,0,0,0.0,0
Arica y Parinacota,Convergencia Democrática,PDC,1,813,1.09,0
Arica y Parinacota,Chile Vamos,EVOPOLI,0,0,0.0,0
Arica y Parinacota,Chile Vamos,RN,2,8186,10.93,0
Arica y Parinacota,Chile Vamos,UDI,1,9639,12.87,1
Arica y Parinacota,Candidatura Independiente,IND,1,14824,19.79,0
Arica y Parinacota,Válidamente emitidos,,0,71416,95.34,0
Arica y Parinacota,Nulos,,0,1936,2.58,0
Arica y Parinacota,Blancos,,0,1555,2.08,0
Arica y Parinacota,Total,,0,74907,100.0,0
Arica y Parinacota,,PR,0,0,0.0,0
Tarapacá,Por Todo Chile,PRO,0,0,0.0,0
Tarapacá,Por Todo Chile,PAIS,0,0,0.0,0
Tarapacá,Frente Amplio,RD,0,0,0.0,0
Tarapacá,Frente Amplio,PODER,1,3878,4.03,0
Tarapacá,Frente Amplio,PH,0,0,0.0,0
Tarapacá,Frente Amplio,PL,0,0,0.0,0
Tarapacá,Frente Amplio,IGUALDAD,0,0,0.0,0
Tarapacá,Sumemos,TODOS,3,4337,4.5,0
Tarapacá,Sumemos,AMPLITUD,0,0,0.0,0
Tarapacá,Sumemos,CIUDADANOS,0,0,0.0,0
Tarapacá,Coalición Regionalista Verde,DRP,0,0,0.0,0
Tarapacá,Coalición Regionalista Verde,FREVS,0,0,0.0,0
Tarapacá,Unión Patriótica,UPA,0,0,0.0,0
Tarapacá,La Fuerza de la Mayoría,PC,0,0,0.0,0
Tarapacá,La Fuerza de la Mayoría,PPD,1,31627,32.85,1
Tarapacá,La Fuerza de la Mayoría,PRSD,0,0,0.0,0
Tarapacá,La Fuerza de la Mayoría,PS,2,3376,3.51,0
Tarapacá,Convergencia Democrática,PDC,0,0,0.0,0
Tarapacá,Chile Vamos,RN,2,5670,5.89,0
Tarapacá,Chile Vamos,EVOPOLI,0,0,0.0,0
Tarapacá,Chile Vamos,UDI,1,21195,22.01,1
Tarapacá,Candidatura Independiente,IND,1,22398,23.26,0
Tarapacá,Válidamente emitidos,,0,92481,96.06,0
Tarapacá,Nulos,,0,2152,2.24,0
Tarapacá,Blancos,,0,1643,1.71,0
Tarapacá,Total,,0,96276,100.0,0
Tarapacá,,PR,0,0,0.0,0
Atacama,Por Todo Chile,PAIS,0,0,0.0,0
Atacama,Por Todo Chile,PRO,0,0,0.0,0
Atacama,Frente Amplio,IGUALDAD,0,0,0.0,0
Atacama,Frente Amplio,PH,0,0,0.0,0
Atacama,Frente Amplio,PL,0,0,0.0,0
Atacama,Frente Amplio,PODER,1,4175,4.15,0
Atacama,Frente Amplio,RD,0,0,0.0,0
Atacama,Sumemos,TODOS,0,0,0.0,0
Atacama,Sumemos,CIUDADANOS,0,0,0.0,0
Atacama,Sumemos,AMPLITUD,0,0,0.0,0
Atacama,Coalición Regionalista Verde,DRP,0,0,0.0,0
Atacama,Coalición Regionalista Verde,FREVS,2,2397,2.38,0
Atacama,Unión Patriótica,UPA,0,0,0.0,0
Atacama,La Fuerza de la Mayoría,PS,0,0,0.0,0
Atacama,La Fuerza de la Mayoría,PPD,1,1299,1.29,0
Atacama,La Fuerza de la Mayoría,PC,1,16724,16.6,0
Atacama,La Fuerza de la Mayoría,PRSD,1,5442,5.4,0
Atacama,Convergencia Democrática,PDC,1,32598,32.36,1
Atacama,Chile Vamos,RN,1,17604,17.48,1
Atacama,Chile Vamos,EVOPOLI,0,0,0.0,0
Atacama,Chile Vamos,UDI,1,14289,14.19,0
Atacama,Candidatura Independiente,IND,1,650,0.65,0
Atacama,Válidamente emitidos,,0,95178,94.49,0
Atacama,Nulos,,0,2603,2.58,0
Atacama,Blancos,,0,2942,2.92,0
Atacama,Total,,0,100723,100.0,0
Atacama,,PR,0,0,0.0,0
Valparaíso,Por Todo Chile,PRO,3,11337,1.56,0
Valparaíso,Por Todo Chile,PAIS,0,0,0.0,0
Valparaíso,Frente Amplio,PODER,1,16222,2.24,0
Valparaíso,Frente Amplio,PL,0,0,0.0,0
Valparaíso,Frente Amplio,PH,1,22997,3.17,0
Valparaíso,Frente Amplio,IGUALDAD,1,26655,3.67,0
Valparaíso,Frente Amplio,RD,1,30545,4.21,1
Valparaíso,Sumemos,CIUDADANOS,0,0,0.0,0
Valparaíso,Sumemos,TODOS,0,0,0.0,0
Valparaíso,Sumemos,AMPLITUD,6,42554,5.87,0
Valparaíso,Coalición Regionalista Verde,FREVS,0,0,0.0,0
Valparaíso,Coalición Regionalista Verde,DRP,0,0,0.0,0
Valparaíso,Unión Patriótica,UPA,3,7273,1.0,0
Valparaíso,La Fuerza de la Mayoría,PC,0,0,0.0,0
Valparaíso,La Fuerza de la Mayoría,PPD,2,93819,12.93,1
Valparaíso,La Fuerza de la Mayoría,PRSD,2,25337,3.49,0
Valparaíso,La Fuerza de la Mayoría,PS,2,63690,8.78,1
Valparaíso,Convergencia Democrática,PDC,3,49438,6.81,0
Valparaíso,Chile Vamos,EVOPOLI,0,0,0.0,0
Valparaíso,Chile Vamos,RN,3,168820,23.27,2
Valparaíso,Chile Vamos,UDI,3,75803,10.45,0
Valparaíso,Candidatura Independiente,IND,1,29404,4.05,0
Valparaíso,Válidamente emitidos,,0,663894,91.51,0
Valparaíso,Nulos,,0,31651,4.36,0
Valparaíso,Blancos,,0,29964,4.13,0
Valparaíso,Total,,0,725509,100.0,0
Valparaíso,,PR,0,0,0.0,0
Maule,Por Todo Chile,PRO,1,5622,0.69,0
Maule,Por Todo Chile,PAIS,2,13892,1.69,0
Maule,Frente Amplio,PODER,0,0,0.0,0
Maule,Frente Amplio,PL,1,42284,5.16,0
Maule,Frente Amplio,PH,3,18412,2.25,0
Maule,Frente Amplio,RD,2,13146,1.6,0
Maule,Frente Amplio,IGUALDAD,0,0,0.0,0
Maule,Sumemos,AMPLITUD,0,0,0.0,0
Maule,Sumemos,CIUDADANOS,5,91068,11.11,0
Maule,Sumemos,TODOS,0,0,0.0,0
