Distrito,Lista/Pacto,Partido,Candidaturas,Votos,Porcentaje,Electos
D1,Partido Comunista,PC,1,2007,2.81,0
D1,Partido Humanista,PH,1,642,0.9,0
D1,Alianza por Chile,UDI,1,10835,15.18,1
D1,Alianza por Chile,RN,1,9720,13.62,0
D1,Partido Liberal,PL,0,0,0.0,0
D1,Concertación,PS,0,0,0.0,0
D1,Concertación,PRSD,0,0,0.0,0
D1,Concertación,PPD,1,13708,19.21,0
D1,Concertación,PDC,1,6013,8.43,0
D1,Candidatura Independiente,IND,1,386,0.54,0
D1,Candidatura Independiente,IND,1,1158,1.62,0
D1,Candidatura Independiente,IND,1,26886,37.68,1
D1,Válidamente emitidos,,0,71355,100.0,0
D2,Partido Comunista,PC,1,2742,3.27,0
D2,Partido Humanista,PH,2,614,0.73,0
D2,Alianza por Chile,UDI,0,0,0.0,0
D2,Alianza por Chile,RN,1,8660,10.32,0
D2,Partido Liberal,PL,0,0,0.0,0
D2,Concertación,PS,0,0,0.0,0
D2,Concertación,PRSD,0,0,0.0,0
D2,Concertación,PPD,0,0,0.0,0
D2,Concertación,PDC,1,22652,27.0,0
D2,Candidatura Independiente,IND,1,7292,8.69,0
D2,Válidamente emitidos,,0,83894,100.0,0
D3,Partido Comunista,PC,1,2927,4.48,0
D3,Partido Humanista,PH,0,0,0.0,0
D3,Alianza por Chile,UDI,1,13745,21.03,1
D3,Alianza por Chile,RN,1,5899,9.02,0
D3,Partido Liberal,PL,0,0,0.0,0
D3,Concertación,PS,1,14338,21.94,0
D3,Concertación,PRSD,0,0,0.0,0
D3,Concertación,PPD,0,0,0.0,0
D3,Concertación,PDC,1,14433,22.08,1
D3,Candidatura Independiente,IND,1,14021,21.45,0
D3,Válidamente emitidos,,0,65363,100.0,0
D4,Partido Comunista,PC,0,0,0.0,0
D4,Partido Humanista,PH,0,0,0.0,0
D4,Alianza por Chile,UDI,1,37033,35.75,1
D4,Alianza por Chile,RN,0,0,0.0,0
D4,Partido Liberal,PL,0,0,0.0,0
D4,Concertación,PS,1,29773,28.74,0
D4,Concertación,PRSD,0,0,0.0,0
D4,Concertación,PPD,0,0,0.0,0
D4,Concertación,PDC,1,32338,31.22,1
D4,Válidamente emitidos,,0,103578,100.0,0
D5,Partido Comunista,PC,2,4998,8.68,0
D5,Partido Humanista,PH,0,0,0.0,0
D5,Alianza por Chile,RN,1,10960,19.04,1
D5,Alianza por Chile,UDI,1,9058,15.74,0
D5,Partido Liberal,PL,0,0,0.0,0
D5,Concertación,PDC,1,3155,5.48,0
D5,Concertación,PPD,1,29382,51.05,1
D5,Concertación,PRSD,0,0,0.0,0
D5,Concertación,PS,0,0,0.0,0
D5,Válidamente emitidos,,0,57553,100.0,0
D6,Partido Comunista,PC,1,1525,3.72,0
D6,Partido Humanista,PH,1,737,1.8,0
D6,Alianza por Chile,UDI,1,7053,17.2,0
D6,Alianza por Chile,RN,1,5368,13.09,0
D6,Partido Liberal,PL,0,0,0.0,0
D6,Concertación,PDC,1,17378,42.38,1
D6,Concertación,PS,0,0,0.0,0
D6,Concertación,PRSD,1,8947,21.82,1
D6,Concertación,PPD,0,0,0.0,0
D6,Válidamente emitidos,,0,41008,100.0,0
D7,Partido Comunista,PC,2,5047,6.27,0
D7,Partido Humanista,PH,0,0,0.0,0
D7,Alianza por Chile,UDI,1,17231,21.42,0
D7,Alianza por Chile,RN,1,17884,22.23,1
D7,Partido Liberal,PL,0,0,0.0,0
D7,Concertación,PS,0,0,0.0,0
D7,Concertación,PRSD,0,0,0.0,0
D7,Concertación,PPD,1,22178,27.57,1
D7,Concertación,PDC,1,18112,22.51,0
D7,Válidamente emitidos,,0,80452,100.0,0
D8,Partido Comunista,PC,0,0,0.0,0
D8,Partido Humanista,PH,1,1981,2.06,0
D8,Alianza por Chile,RN,0,0,0.0,0
D8,Alianza por Chile,UDI,1,20522,21.39,0
D8,Partido Liberal,PL,0,0,0.0,0
D8,Concertación,PS,1,19544,20.37,1
D8,Concertación,PRSD,0,0,0.0,0
D8,Concertación,PPD,0,0,0.0,0
D8,Concertación,PDC,1,43516,45.35,1
D8,Válidamente emitidos,,0,95948,100.0,0
D9,Partido Comunista,PC,2,10219,17.24,0
D9,Partido Humanista,PH,2,1122,1.89,0
D9,Alianza por Chile,RN,1,6549,11.05,0
D9,Alianza por Chile,UDI,1,13673,23.06,1
D9,Partido Liberal,PL,0,0,0.0,0
D9,Concertación,PS,0,0,0.0,0
D9,Concertación,PRSD,1,788,1.33,0
D9,Concertación,PPD,1,23380,39.44,1
D9,Concertación,PDC,0,0,0.0,0
D9,Candidatura Independiente,IND,1,3555,6.0,0
D9,Válidamente emitidos,,0,59286,100.0,0
D10,Partido Comunista,PC,2,8343,6.78,0
D10,Partido Humanista,PH,0,0,0.0,0
D10,Alianza por Chile,RN,1,38631,31.42,1
D10,Alianza por Chile,UDI,1,20798,16.91,0
D10,Partido Liberal,PL,0,0,0.0,0
D10,Concertación,PRSD,1,26394,21.46,0
D10,Concertación,PS,0,0,0.0,0
D10,Concertación,PPD,0,0,0.0,0
D10,Concertación,PDC,1,28800,23.42,1
D10,Válidamente emitidos,,0,122966,100.0,0
D11,Partido Comunista,PC,1,4983,5.18,0
D11,Partido Humanista,PH,1,1994,2.07,0
D11,Alianza por Chile,UDI,1,22395,23.27,1
D11,Alianza por Chile,RN,0,0,0.0,0
D11,Partido Liberal,PL,0,0,0.0,0
D11,Concertación,PS,0,0,0.0,0
D11,Concertación,PRSD,1,19028,19.77,0
D11,Concertación,PPD,0,0,0.0,0
D11,Concertación,PDC,1,26798,27.84,1
D11,Válidamente emitidos,,0,96254,100.0,0
D12,Partido Comunista,PC,2,5136,5.02,0
D12,Partido Humanista,PH,0,0,0.0,0
D12,Alianza por Chile,RN,1,29874,29.2,1
D12,Alianza por Chile,UDI,1,23199,22.68,0
D12,Partido Liberal,PL,0,0,0.0,0
D12,Concertación,PS,1,27217,26.6,1
D12,Concertación,PRSD,0,0,0.0,0
D12,Concertación,PPD,0,0,0.0,0
D12,Concertación,PDC,1,16884,16.5,0
D12,Válidamente emitidos,,0,102310,100.0,0
D13,Partido Comunista,PC,1,13595,10.45,0
D13,Partido Humanista,PH,1,2074,1.59,0
D13,Alianza por Chile,UDI,1,30047,23.09,0
D13,Alianza por Chile,RN,0,0,0.0,0
D13,Partido Liberal,PL,0,0,0.0,0
D13,Concertación,PS,0,0,0.0,0
D13,Concertación,PRSD,0,0,0.0,0
D13,Concertación,PPD,1,34527,26.53,1
D13,Concertación,PDC,1,14949,11.49,0
D13,Candidatura Independiente,IND,1,2826,2.17,0
D13,Válidamente emitidos,,0,130131,100.0,0
D14,Partido Comunista,PC,1,8752,6.05,0
D14,Partido Humanista,PH,0,0,0.0,0
D14,Alianza por Chile,RN,1,9129,6.31,0
D14,Alianza por Chile,UDI,1,59822,41.34,1
D14,Partido Liberal,PL,0,0,0.0,0
D14,Concertación,PS,0,0,0.0,0
D14,Concertación,PRSD,0,0,0.0,0
D14,Concertación,PPD,1,47593,32.89,1
D14,Concertación,PDC,1,19397,13.41,0
D14,Válidamente emitidos,,0,144693,100.0,0
D15,Partido Comunista,PC,1,8926,11.62,0
D15,Partido Humanista,PH,0,0,0.0,0
D15,Alianza por Chile,RN,0,0,0.0,0
D15,Alianza por Chile,UDI,1,13562,17.65,0
D15,Partido Liberal,PL,0,0,0.0,0
D15,Concertación,PRSD,1,20353,26.49,1
D15,Concertación,PPD,0,0,0.0,0
D15,Concertación,PDC,1,15254,19.85,0
D15,Concertación,PS,0,0,0.0,0
D15,Válidamente emitidos,,0,76836,100.0,0
D16,Partido Comunista,PC,2,19552,15.5,0
D16,Partido Humanista,PH,0,0,0.0,0
D16,Alianza por Chile,UDI,1,52806,41.86,1
D16,Alianza por Chile,RN,0,0,0.0,0
D16,Partido Liberal,PL,0,0,0.0,0
D16,Concertación,PDC,1,38762,30.73,1
D16,Concertación,PRSD,0,0,0.0,0
D16,Concertación,PS,0,0,0.0,0
D16,Concertación,PPD,0,0,0.0,0
D16,Válidamente emitidos,,0,126153,100.0,0
D17,Partido Comunista,PC,2,9212,6.1,0
D17,Partido Humanista,PH,2,2494,1.65,0
D17,Alianza por Chile,UDI,1,61319,40.63,1
D17,Alianza por Chile,RN,1,3035,2.01,0
D17,Partido Liberal,PL,0,0,0.0,0
D17,Concertación,PS,0,0,0.0,0
D17,Concertación,PRSD,0,0,0.0,0
D17,Concertación,PPD,1,49986,33.12,1
D17,Concertación,PDC,1,24881,16.49,0
D17,Válidamente emitidos,,0,150927,100.0,0
D18,Partido Comunista,PC,2,8889,5.27,0
D18,Partido Humanista,PH,1,2411,1.43,0
D18,Alianza por Chile,UDI,1,39717,23.55,0
D18,Alianza por Chile,RN,1,8247,4.89,0
D18,Partido Liberal,PL,0,0,0.0,0
D18,Concertación,PS,0,0,0.0,0
D18,Concertación,PRSD,0,0,0.0,0
D18,Concertación,PPD,1,98491,58.39,1
D18,Concertación,PDC,1,10930,6.48,1
D18,Válidamente emitidos,,0,168685,100.0,0
D19,Partido Comunista,PC,2,7300,6.8,0
D19,Partido Humanista,PH,2,2116,1.97,0
D19,Alianza por Chile,RN,0,0,0.0,0
D19,Alianza por Chile,UDI,1,36994,34.44,1
D19,Partido Liberal,PL,0,0,0.0,0
D19,Concertación,PS,0,0,0.0,0
D19,Concertación,PRSD,0,0,0.0,0
D19,Concertación,PPD,1,44193,41.15,1
D19,Concertación,PDC,1,9505,8.85,0
D19,Válidamente emitidos,,0,107406,100.0,0
D20,Partido Comunista,PC,2,12536,6.21,0
D20,Partido Humanista,PH,2,4872,2.41,0
D20,Alianza por Chile,UDI,1,49844,24.68,1
D20,Alianza por Chile,RN,1,39238,19.43,0
D20,Partido Liberal,PL,0,0,0.0,0
D20,Concertación,PS,1,42019,20.8,0
D20,Concertación,PRSD,0,0,0.0,0
D20,Concertación,PPD,0,0,0.0,0
D20,Concertación,PDC,1,53474,26.47,1
D20,Válidamente emitidos,,0,201983,100.0,0
D21,Partido Comunista,PC,2,7592,4.56,0
D21,Partido Humanista,PH,1,3503,2.11,0
D21,Alianza por Chile,UDI,1,61584,37.01,1
D21,Alianza por Chile,RN,1,27879,16.76,0
D21,Partido Liberal,PL,0,0,0.0,0
