Circunscripción,Lista/Pacto,Partido,Candidatos,Votos,Porcentaje,Electos,Electos_comp,url
Tarapacá,Partido Comunista,PC,"('Rigoberto', 'Echeverría', 'Allende')",4808,3.11,,,
Tarapacá,Partido Humanista,PH,"('Claudio', 'Ojeda', 'Murillo')",1323,0.86,,,
Tarapacá,Alianza por Chile,UDI,"('Jaime', 'Orpis', 'Bouchon')",38093,24.65,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Jaime_Orpis_Bouchon
Tarapacá,Alianza por Chile,RN,"('Julio', 'Lagos', 'Cosgrove')",24844,16.08,,,
Tarapacá,Concertación,PPD,"('Fernando', 'Flores', 'Labra')",47159,30.51,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Carlos_Fernando_Flores_Labra
Tarapacá,Concertación,PDC,"('Enrique', 'Krauss', 'Rusque')",13754,8.9,,,
Tarapacá,Candidatura Independiente,IND,"('María', 'Inés', 'Macchiavello', 'Zerega')",24569,15.9,,,
Tarapacá,Válidamente emitidos,,(),154550,100.0,,,
Antofagasta,Alianza por Chile,RN,"('Carlos', 'Cantero', 'Ojeda')",0,0.0,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Carlos_Cantero_Ojeda
Antofagasta,Concertación,PDC,"('Carmen', 'Frei', 'Ruiz-Tagle')",0,0.0,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Carmen_Frei_Ruiz-Tagle
Atacama,Alianza por Chile,RN,"('Baldo', 'Prokurica', 'Prokurica')",38212,38.9,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Baldo_Prokurica_Prokurica
Atacama,Concertación,PDC,"('Erick', 'Villegas', 'González')",17750,18.07,,,
Atacama,Concertación,PS,"('Ricardo', 'Núñez', 'Muñoz')",42263,43.03,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Ricardo_Núñez_Muñoz
Atacama,Válidamente emitidos,,(),98225,100.0,,,
Coquimbo,Alianza por Chile,UDI,"('Evelyn', 'Matthei', 'Fornet')",0,0.0,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Evelyn_Matthei_Fornet
Coquimbo,Concertación,PDC,"('Jorge', 'Pizarro', 'Soto')",0,0.0,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Jorge_Pizarro_Soto
Valparaíso Cordillera,Partido Comunista,PC,"('Juan', 'Gajardo', 'López')",11909,3.7,,,
Valparaíso Cordillera,Alianza por Chile,RN,"('Sergio', 'Romero', 'Pizarro')",127706,39.72,*,*,https://www.bcn.cl/historiapolitica/resenas_parlamentarias/wiki/Sergio_Romero_Pizarro
Valparaíso Cordillera,Alianza por Chile,RN,"('Alberto', 'Naudon', 'del Río')",9461,2.94,,,
