Distrito,Lista/Pacto,Partido,Candidaturas,Votos,Porcentaje,Electos
D1,Concertación de Partidos por la Democracia,PDC,1,21314,25.08,1
D1,Concertación de Partidos por la Democracia,PR,1,15564,18.32,0
D1,Concertación de Partidos por la Democracia,PPD,0,0,0.0,0
D1,Concertación de Partidos por la Democracia,PLV,0,0,0.0,0
D1,Concertación de Partidos por la Democracia,PH,0,0,0.0,0
D1,Democracia y Progreso,UDI,1,5098,6.0,0
D1,Democracia y Progreso,RN,1,21497,25.3,1
D1,Alianza de Centro,DR,0,0,0.0,0
D1,Alianza de Centro,AN,0,0,0.0,0
D1,Liberal-Socialista Chileno,PL,0,0,0.0,0
D1,Liberal-Socialista Chileno,PS,0,0,0.0,0
D1,Unidad para la Democracia,PRSD,0,0,0.0,0
D1,Unidad para la Democracia,PAIS,2,12159,14.31,0
D1,Candidatura Independiente,IND,1,1784,2.1,0
D1,Válidamente emitidos,,0,84974,100.0,0
D2,Concertación de Partidos por la Democracia,PR,0,0,0.0,0
D2,Concertación de Partidos por la Democracia,PPD,1,30007,39.16,1
D2,Concertación de Partidos por la Democracia,PH,0,0,0.0,0
D2,Concertación de Partidos por la Democracia,PDC,0,0,0.0,0
D2,Concertación de Partidos por la Democracia,PLV,0,0,0.0,0
D2,Democracia y Progreso,RN,1,10669,13.92,0
D2,Democracia y Progreso,UDI,0,0,0.0,0
D2,Alianza de Centro,AN,1,2969,3.87,0
D2,Alianza de Centro,DR,0,0,0.0,0
D2,Liberal-Socialista Chileno,PS,0,0,0.0,0
D2,Liberal-Socialista Chileno,PL,0,0,0.0,0
D2,Unidad para la Democracia,PRSD,0,0,0.0,0
D2,Unidad para la Democracia,PAIS,0,0,0.0,0
D2,Válidamente emitidos,,0,76634,100.0,0
D3,Concertación de Partidos por la Democracia,PPD,0,0,0.0,0
D3,Concertación de Partidos por la Democracia,PDC,1,21823,25.65,0
D3,Concertación de Partidos por la Democracia,PR,0,0,0.0,0
D3,Concertación de Partidos por la Democracia,PLV,0,0,0.0,0
D3,Concertación de Partidos por la Democracia,PH,0,0,0.0,0
D3,Democracia y Progreso,UDI,0,0,0.0,0
D3,Democracia y Progreso,RN,2,24410,28.69,1
D3,Alianza de Centro,AN,1,1103,1.3,0
D3,Alianza de Centro,DR,0,0,0.0,0
D3,Liberal-Socialista Chileno,PL,0,0,0.0,0
D3,Liberal-Socialista Chileno,PS,0,0,0.0,0
D3,Unidad para la Democracia,PRSD,0,0,0.0,0
D3,Unidad para la Democracia,PAIS,0,0,0.0,0
D3,Candidatura Independiente,IND,1,7572,8.9,0
D3,Válidamente emitidos,,0,85070,100.0,0
D4,Concertación de Partidos por la Democracia,PR,0,0,0.0,0
D4,Concertación de Partidos por la Democracia,PDC,1,35630,29.78,1
D4,Concertación de Partidos por la Democracia,PPD,1,40124,33.54,1
D4,Concertación de Partidos por la Democracia,PH,0,0,0.0,0
D4,Concertación de Partidos por la Democracia,PLV,0,0,0.0,0
