Distrito,Lista/Pacto,Partido,Candidaturas,Votos,Porcentaje,Electos
D1,Fuerza Regional Independiente,ANI,0,0,0.0,0
D1,Fuerza Regional Independiente,PAR,1,1248,1.68,0
D1,Concertación Democrática,PPD,0,0,0.0,0
D1,Concertación Democrática,PDC,1,8925,12.02,0
D1,Concertación Democrática,PRSD,0,0,0.0,0
D1,Concertación Democrática,PS,1,18958,25.52,1
D1,Juntos Podemos Más,PH,1,1108,1.49,0
D1,Juntos Podemos Más,PC,1,1733,2.33,0
D1,Alianza,RN,1,16692,22.47,1
D1,Alianza,UDI,1,5895,7.94,0
D1,Candidatura Independiente,IND,1,13847,18.64,0
D1,Válidamente emitidos,,0,74274,100.0,0
D2,Fuerza Regional Independiente,PAR,1,24350,26.66,1
D2,Fuerza Regional Independiente,ANI,0,0,0.0,0
D2,Concertación Democrática,PDC,1,3208,3.51,0
D2,Concertación Democrática,PRSD,0,0,0.0,0
D2,Concertación Democrática,PS,1,36823,40.32,1
D2,Concertación Democrática,PPD,0,0,0.0,0
D2,Juntos Podemos Más,PH,0,0,0.0,0
D2,Juntos Podemos Más,PC,1,2901,3.18,0
D2,Alianza,RN,1,6456,7.07,0
D2,Alianza,UDI,1,16493,18.06,0
D2,Válidamente emitidos,,0,91319,100.0,0
D3,Fuerza Regional Independiente,ANI,0,0,0.0,0
D3,Fuerza Regional Independiente,PAR,0,0,0.0,0
D3,Concertación Democrática,PS,0,0,0.0,0
D3,Concertación Democrática,PRSD,1,21629,31.44,1
D3,Concertación Democrática,PPD,0,0,0.0,0
D3,Concertación Democrática,PDC,1,15807,22.97,0
D3,Juntos Podemos Más,PC,1,4753,6.91,0
D3,Juntos Podemos Más,PH,1,1774,2.58,0
D3,Alianza,RN,1,6805,9.89,0
D3,Alianza,UDI,1,14469,21.03,1
D3,Válidamente emitidos,,0,68805,100.0,0
D4,Fuerza Regional Independiente,ANI,0,0,0.0,0
D4,Fuerza Regional Independiente,PAR,0,0,0.0,0
D4,Concertación Democrática,PPD,0,0,0.0,0
D4,Concertación Democrática,PDC,1,40131,34.51,1
D4,Concertación Democrática,PRSD,0,0,0.0,0
D4,Concertación Democrática,PS,0,0,0.0,0
D4,Juntos Podemos Más,PC,1,2972,2.56,0
D4,Juntos Podemos Más,PH,1,1456,1.25,0
D4,Alianza,RN,0,0,0.0,0
D4,Alianza,UDI,1,38254,32.9,1
D4,Válidamente emitidos,,0,116280,100.0,0
D5,Fuerza Regional Independiente,PAR,1,1100,1.8,0
D5,Fuerza Regional Independiente,ANI,0,0,0.0,0
D5,Concertación Democrática,PDC,1,6241,10.23,0
D5,Concertación Democrática,PRSD,0,0,0.0,0
D5,Concertación Democrática,PPD,1,30032,49.25,1
D5,Concertación Democrática,PS,0,0,0.0,0
D5,Juntos Podemos Más,PC,1,3224,5.29,0
D5,Juntos Podemos Más,PH,1,1086,1.78,0
D5,Alianza,UDI,1,6864,11.26,0
D5,Alianza,RN,1,12432,20.39,1
D5,Válidamente emitidos,,0,60979,100.0,0
D6,Fuerza Regional Independiente,PAR,0,0,0.0,0
D6,Fuerza Regional Independiente,ANI,0,0,0.0,0
D6,Concertación Democrática,PS,0,0,0.0,0
D6,Concertación Democrática,PRSD,1,9199,21.01,1
D6,Concertación Democrática,PPD,0,0,0.0,0
D6,Concertación Democrática,PDC,1,16124,36.82,1
D6,Juntos Podemos Más,PH,1,316,0.72,0
D6,Juntos Podemos Más,PC,1,1525,3.48,0
D6,Alianza,UDI,1,6664,15.22,0
D6,Alianza,RN,1,5206,11.89,0
D6,Válidamente emitidos,,0,43786,100.0,0
D7,Fuerza Regional Independiente,PAR,0,0,0.0,0
D7,Fuerza Regional Independiente,ANI,0,0,0.0,0
D7,Concertación Democrática,PS,1,22861,26.03,1
D7,Concertación Democrática,PPD,0,0,0.0,0
D7,Concertación Democrática,PDC,1,21748,24.76,0
D7,Concertación Democrática,PRSD,0,0,0.0,0
D7,Juntos Podemos Más,PH,0,0,0.0,0
D7,Juntos Podemos Más,PC,2,5177,5.89,0
D7,Alianza,UDI,1,16401,18.68,0
D7,Alianza,RN,1,21636,24.64,1
D7,Válidamente emitidos,,0,87823,100.0,0
